Winning Numbers
07 36 58 60 62
10 42 53 67 68
03 29 56 62 64
10 12 16 49 57
04 09 42 62 68
15 20 32 37 52
29 33 39 60 66
10 12 14 24 60
18 24 31 34 55
17 24 34 56 65
10 38 40 43 65
15 32 39 50 65
14 24 31 42 48
03 34 36 59 66
02 37 48 66 68
10 33 53 54 62
08 16 30 38 61
04 15 37 59 64
02 43 48 62 64
29 52 58 60 62
04 05 31 62 69
13 26 29 38 64
21 29 35 54 60
34 44 57 62 70
09 10 25 37 38
02 08 42 43 50
10 13 61 62 70
13 22 32 60 69
05 22 26 43 49
04 38 39 54 59
04 10 20 33 57
28 31 41 42 50
25 28 40 43 63
12 24 37 42 57
07 10 30 33 59
10 16 31 42 66
33 36 63 68 69
34 46 57 65 69
08 14 27 57 67
28 34 37 56 69
03 23 28 46 62
20 31 39 46 49
01 28 61 62 63
05 28 62 65 70
15 23 53 65 70
03 45 49 61 69
04 24 46 61 70
20 22 39 54 60
27 28 32 41 69
02 22 29 31 34
39 45 52 56 59
08 16 32 48 61
01 02 11 52 64
31 32 43 63 68
23 30 40 43 66
15 30 51 62 67
08 10 41 54 68
02 07 25 35 44
07 18 29 32 45
03 20 33 34 41
01 06 13 18 49
14 16 19 38 57
01 31 32 47 56
11 26 44 45 46
01 03 12 22 42
02 13 15 21 62
09 28 30 54 60
12 15 35 64 69
01 32 40 49 63
01 02 04 19 29
01 14 30 44 62
40 41 61 66 67
21 22 39 59 68
01 17 28 56 70
02 10 46 50 56
13 35 45 49 68
02 32 47 49 68
17 25 29 39 60
02 06 11 27 44
11 13 28 65 70
01 11 37 47 51
01 03 05 08 70
14 30 33 44 56
22 33 41 48 52
05 24 52 62 66
02 11 55 58 67
11 14 51 64 68
16 17 21 36 48
09 26 53 64 66
21 34 44 49 61
14 38 40 53 70
08 15 39 64 67
04 05 10 12 18
02 07 20 55 70
02 29 38 63 66
03 19 31 32 48
01 15 18 32 45
12 34 44 47 65
08 09 32 42 59
05 13 31 43 53
16 33 51 54 67
04 29 39 42 62
11 28 31 46 59
07 25 43 56 59
04 08 23 53 59
14 38 51 64 70
01 13 26 33 52
06 30 58 60 61
07 17 18 46 66
01 04 26 35 39
24 28 42 60 64
10 17 21 38 43
07 11 13 19 58
17 19 23 24 43
14 38 48 53 58
05 12 15 46 49
28 34 41 46 47
14 17 25 48 58
01 04 14 17 40
29 41 42 49 57
10 16 27 38 43
02 06 30 31 55
03 17 23 49 66
03 11 23 29 59
17 18 33 46 60
16 29 31 65 67
28 30 39 59 70
01 42 47 64 70
04 10 18 28 62
10 12 20 38 41
01 20 30 33 42
28 37 39 42 58
04 12 36 44 57
08 23 24 25 27
06 37 46 60 70
14 15 37 42 67
16 22 40 41 59
10 17 47 51 61
16 36 54 61 64
03 07 22 27 50
03 26 55 58 70
01 14 21 22 28
06 23 38 42 58
01 54 60 68 69
10 22 42 61 69
06 28 31 52 53
17 27 41 51 52
20 24 34 56 64
06 23 63 66 73
31 45 49 56 70
